quote
"If nobody is afraid of me, I'm meaningless."
"Singapore must have that iron in him."
"You rest when you are dead."
"A leader can be made, provided he is born."
"No policy is cast in stone."
"Change is the very essence of life."
"Do not judge a man until you've closed his coffin"
